,NombreEmpresa,codigo_pais,sub_region
0,Banco Santander Chile,CL,Latin America and the Caribbean
1,ARKHO,CL,Latin America and the Caribbean
2,Gregario,CL,Latin America and the Caribbean
3,Wholemeaning,CL,Latin America and the Caribbean
4,Nielsen,CL,Latin America and the Caribbean
5,Goodyear,CL,Latin America and the Caribbean
6,Colgate-Palmolive,CL,Latin America and the Caribbean
8,BNamericas,CL,Latin America and the Caribbean
9,Option,CL,Latin America and the Caribbean
10,FUNDACIÓN CSIRO CHILE RESEARCH,CL,Latin America and the Caribbean
11,Femsa Salud,CL,Latin America and the Caribbean
12,8020REI,CL,Latin America and the Caribbean
13,Teck Resources,CL,Latin America and the Caribbean
14,Citicapital Commercial Corp,CL,Latin America and the Caribbean
15,McKinsey & Company,CL,Latin America and the Caribbean
16,Citi,CL,Latin America and the Caribbean
17,IQVIA,CL,Latin America and the Caribbean
20,AstraZeneca,CL,Latin America and the Caribbean
21,Ensitech,MX,Latin America and the Caribbean
23,Caden Concepts,MX,Latin America and the Caribbean
24,Internship Wanted,MX,Latin America and the Caribbean
25,Scotiabank,MX,Latin America and the Caribbean
26,Transfast,MX,Latin America and the Caribbean
27,Tandem,MX,Latin America and the Caribbean
28,Danfoss,MX,Latin America and the Caribbean
29,TE Connectivity,MX,Latin America and the Caribbean
31,Emerson,MX,Latin America and the Caribbean
32,Swiss Re,MX,Latin America and the Caribbean
33,HARMAN,MX,Latin America and the Caribbean
34,Accor,MX,Latin America and the Caribbean
35,Johnson Controls,MX,Latin America and the Caribbean
36,CDK Global,MX,Latin America and the Caribbean
37,Hewlett Packard Enterprise | HPE,MX,Latin America and the Caribbean
38,HP Inc.,MX,Latin America and the Caribbean
39,IBTCI,MX,Latin America and the Caribbean
40,Getecsa,MX,Latin America and the Caribbean
41,Mondelēz International,MX,Latin America and the Caribbean
44,Page Group (London),MX,Latin America and the Caribbean
45,S&P Dow Jones Indices,MX,Latin America and the Caribbean
46,PepsiCo,MX,Latin America and the Caribbean
47,DXC Technology,MX,Latin America and the Caribbean
48,Allianz,MX,Latin America and the Caribbean
49,Invenergy,MX,Latin America and the Caribbean
51,Sunwing Travel Group,MX,Latin America and the Caribbean
55,Deintec,MX,Latin America and the Caribbean
57,BioCatch,MX,Latin America and the Caribbean
59,Amazon,MX,Latin America and the Caribbean
60,Epson America,MX,Latin America and the Caribbean
62,PPG Industries,MX,Latin America and the Caribbean
63,Eaton,MX,Latin America and the Caribbean
64,Air Liquide,MX,Latin America and the Caribbean
69,La Delegación Permanente de México ante la OCDE,MX,Latin America and the Caribbean
70,IBM,MX,Latin America and the Caribbean
73,TaleXa,MX,Latin America and the Caribbean
74,Libbey,MX,Latin America and the Caribbean
77,Primeworks Studios (M),MX,Latin America and the Caribbean
83,BEPC,MX,Latin America and the Caribbean
84,CIMMYT,MX,Latin America and the Caribbean
86,Lenovo,MX,Latin America and the Caribbean
88,CEMEX,MX,Latin America and the Caribbean
89,Talentos IT,MX,Latin America and the Caribbean
90,Customer Intelligence,MX,Latin America and the Caribbean
91,Itera (Mexico),MX,Latin America and the Caribbean
93,Rise Interactive,MX,Latin America and the Caribbean
99,Mattel,MX,Latin America and the Caribbean
100,International Paper,MX,Latin America and the Caribbean
102,Call Center Services International (CCSI),MX,Latin America and the Caribbean
104,Avantor,MX,Latin America and the Caribbean
106,Marsh & McLennan Companies,MX,Latin America and the Caribbean
108,Laudex,MX,Latin America and the Caribbean
109,Marathon Petroleum,MX,Latin America and the Caribbean
112,CompuCom,MX,Latin America and the Caribbean
114,Symbiotics,MX,Latin America and the Caribbean
115,"Harley-Davidson, Inc.",MX,Latin America and the Caribbean
116,GE Healthcare,MX,Latin America and the Caribbean
127,Cognizant Technology Solutions,MX,Latin America and the Caribbean
128,bNEXT,MX,Latin America and the Caribbean
130,Fleet Complete,MX,Latin America and the Caribbean
131,Aptiv,MX,Latin America and the Caribbean
134,Didi,MX,Latin America and the Caribbean
137,Nemak,MX,Latin America and the Caribbean
138,Grupo MYT,MX,Latin America and the Caribbean
139,True Blue Manufacturing,MX,Latin America and the Caribbean
140,Robert Bosch,MX,Latin America and the Caribbean
141,Fender Musical Instruments,MX,Latin America and the Caribbean
144,Lear Corporation,MX,Latin America and the Caribbean
145,Rappi,MX,Latin America and the Caribbean
146,Pearson,MX,Latin America and the Caribbean
147,Bloomberg L.P.,MX,Latin America and the Caribbean
151,Boehringer Ingelheim,MX,Latin America and the Caribbean
152,Walt Disney Company,MX,Latin America and the Caribbean
153,Epikso,MX,Latin America and the Caribbean
154,Thermo Fisher Scientific,MX,Latin America and the Caribbean
156,NTT DATA,MX,Latin America and the Caribbean
157,Softtek,MX,Latin America and the Caribbean
161,Gensuite,MX,Latin America and the Caribbean
163,Konfío,MX,Latin America and the Caribbean
166,IT-Experience,MX,Latin America and the Caribbean
167,Barbachano International,MX,Latin America and the Caribbean
168,Maersk Line,MX,Latin America and the Caribbean
171,63 moons technologies,MX,Latin America and the Caribbean
172,Vantis (Mexico),MX,Latin America and the Caribbean
177,Xideral,MX,Latin America and the Caribbean
178,Listopro,MX,Latin America and the Caribbean
180,99,MX,Latin America and the Caribbean
181,Sanmina,MX,Latin America and the Caribbean
182,Moody's,MX,Latin America and the Caribbean
184,Embraco North America,MX,Latin America and the Caribbean
191,Empower4Talent,MX,Latin America and the Caribbean
193,J.P. Morgan,MX,Latin America and the Caribbean
199,Indra,MX,Latin America and the Caribbean
202,Gepa Consulting,MX,Latin America and the Caribbean
204,NXP Semiconductors,MX,Latin America and the Caribbean
205,WESCO International,MX,Latin America and the Caribbean
219,Multiplica,MX,Latin America and the Caribbean
221,Poly,MX,Latin America and the Caribbean
222,Crossbridge,MX,Latin America and the Caribbean
223,CHEP,MX,Latin America and the Caribbean
228,EPAM,MX,Latin America and the Caribbean
231,BODESA,MX,Latin America and the Caribbean
232,Celestica,MX,Latin America and the Caribbean
233,Danone,MX,Latin America and the Caribbean
241,J.D. Power,MX,Latin America and the Caribbean
242,Solera,MX,Latin America and the Caribbean
246,Whirlpool Corporation,MX,Latin America and the Caribbean
251,NIKE,MX,Latin America and the Caribbean
255,AutoZone,MX,Latin America and the Caribbean
261,Confie,MX,Latin America and the Caribbean
265,Garrett Advancing Motion,MX,Latin America and the Caribbean
266,Sistemas aKúbica,MX,Latin America and the Caribbean
269,Clipware,MX,Latin America and the Caribbean
278,Faurecia,MX,Latin America and the Caribbean
283,SRG Global,MX,Latin America and the Caribbean
294,Handcloud,MX,Latin America and the Caribbean
299,ORBIS Corporation,MX,Latin America and the Caribbean
301,GM Financial,MX,Latin America and the Caribbean
309,Dresden Partners,MX,Latin America and the Caribbean
320,CDK,MX,Latin America and the Caribbean
322,Soluciones Integrales en la Administración de Talento Humano,MX,Latin America and the Caribbean
326,Grupo Salinas,MX,Latin America and the Caribbean
341,Albo (Mexico),MX,Latin America and the Caribbean
373,Credijusto,MX,Latin America and the Caribbean
374,Intersys,MX,Latin America and the Caribbean
375,Hunt IT,MX,Latin America and the Caribbean
377,Mastercard,MX,Latin America and the Caribbean
379,Tiempo Development,MX,Latin America and the Caribbean
381,All Island Media,MX,Latin America and the Caribbean
384,Wizeline,MX,Latin America and the Caribbean
390,FacTum,MX,Latin America and the Caribbean
393,Recruitment IT,MX,Latin America and the Caribbean
398,Valiot,MX,Latin America and the Caribbean
399,Kueski,MX,Latin America and the Caribbean
401,Rhinok,MX,Latin America and the Caribbean
402,CodersLink,MX,Latin America and the Caribbean
408,Buen Talento,MX,Latin America and the Caribbean
411,JonaJo Consulting,MX,Latin America and the Caribbean
412,IPG Mediabrands,MX,Latin America and the Caribbean
422,Evenplan,MX,Latin America and the Caribbean
441,Citicorp North America,MX,Latin America and the Caribbean
442,IHS Markit,MX,Latin America and the Caribbean
444,Epicor Software,MX,Latin America and the Caribbean
457,Damco,MX,Latin America and the Caribbean
462,MSCI,MX,Latin America and the Caribbean
464,Micro Focus,MX,Latin America and the Caribbean
467,AT&T,MX,Latin America and the Caribbean
475,Danfoss International,MX,Latin America and the Caribbean
478,Teradata,MX,Latin America and the Caribbean
481,American Express,MX,Latin America and the Caribbean
485,ASICS,MX,Latin America and the Caribbean
486,Plastic Omnium,MX,Latin America and the Caribbean
488,Alexander Mann Solutions,MX,Latin America and the Caribbean
491,BIC,MX,Latin America and the Caribbean
495,IKEA,MX,Latin America and the Caribbean
496,Johnson & Johnson,MX,Latin America and the Caribbean
497,Maersk Group,MX,Latin America and the Caribbean
505,Unosquare,MX,Latin America and the Caribbean
508,Expeditors,MX,Latin America and the Caribbean
520,Accenture,MX,Latin America and the Caribbean
536,Bosch,MX,Latin America and the Caribbean
537,Continental,MX,Latin America and the Caribbean
547,John Deere,MX,Latin America and the Caribbean
580,Arrow Electronics,MX,Latin America and the Caribbean
606,Genworth,MX,Latin America and the Caribbean
607,Amdocs,MX,Latin America and the Caribbean
615,The Results Companies,MX,Latin America and the Caribbean
630,LAAgencia,MX,Latin America and the Caribbean
633,Conekta,MX,Latin America and the Caribbean
634,Bayer,MX,Latin America and the Caribbean
636,Visa Inc.,MX,Latin America and the Caribbean
643,Nubank Brasil,MX,Latin America and the Caribbean
644,Topsort,US,Northern America
645,TracFone,US,Northern America
646,Fareportal,US,Northern America
647,NASB Financial,US,Northern America
648,Tideworks Technology,US,Northern America
649,Aduro,US,Northern America
650,Stefanini,US,Northern America
651,Source One Technical Solutions,US,Northern America
652,Akinnovate,US,Northern America
653,Software Resources,US,Northern America
654,Liberty Mutual Insurance,US,Northern America
655,Zimmerman Advertising,US,Northern America
656,Leading Path Consulting,US,Northern America
659,Gridiron IT,US,Northern America
660,Shane Co.,US,Northern America
662,Lockheed Martin,US,Northern America
663,Procore Technologies,US,Northern America
664,Forrest Solutions,US,Northern America
665,Liberty Tax Service,US,Northern America
666,Enexus Global,US,Northern America
667,AngelList,US,Northern America
668,Stamps.com,US,Northern America
669,Advantage Resourcing,US,Northern America
670,Kalderos,US,Northern America
671,Torch Technologies,US,Northern America
672,AllStar Staffing Group,US,Northern America
673,APN Consulting,US,Northern America
674,American College of Physicians,US,Northern America
675,Azule Staffing,US,Northern America
676,GPS Staffing,US,Northern America
677,CHRISTUS Health,US,Northern America
678,ACCT,US,Northern America
679,Genesis10,US,Northern America
680,Bowhead Family of Companies,US,Northern America
681,PennyMac,US,Northern America
682,MACRO.CCS,US,Northern America
683,NCSOFT,US,Northern America
684,Avenues: The World School,US,Northern America
685,TIBCO Software,US,Northern America
686,LBJ Infrastructure Group LLC,US,Northern America
687,Discord,US,Northern America
688,Amiga Informatics,US,Northern America
689,Jackson Lewis,US,Northern America
690,Oldcastle,US,Northern America
691,Brightwell Payments,US,Northern America
692,IDC Technologies,US,Northern America
693,iX.co,US,Northern America
694,Jenzabar,US,Northern America
695,NewDay USA,US,Northern America
696,ForeFront,US,Northern America
697,Transamerica,US,Northern America
698,HelloWorld,US,Northern America
699,Central California Alliance for Health,US,Northern America
700,Carousel Industries,US,Northern America
701,Turbonomic,US,Northern America
702,GitLab,US,Northern America
703,Chelan County PUD,US,Northern America
704,SocialWithin,US,Northern America
706,UFG Insurance,US,Northern America
707,NYC Criminal Justice Agency,US,Northern America
708,Artech Information Systems,US,Northern America
709,Kforce,US,Northern America
710,RMS Computer,US,Northern America
711,Mars,US,Northern America
714,XpertTech,US,Northern America
715,Integrated Resources,US,Northern America
717,Affinity Solutions,US,Northern America
718,V-Soft Consulting Group,US,Northern America
719,PatientPoint,US,Northern America
721,Conexess,US,Northern America
722,AMTIS,US,Northern America
723,CarGurus,US,Northern America
724,Managed Markets Insight & Technology,US,Northern America
725,First Command Financial Services,US,Northern America
726,RP Professional Services,US,Northern America
727,AlphaSense,US,Northern America
728,City National Bank of Florida,US,Northern America
730,MakerSights,US,Northern America
731,W R Systems,US,Northern America
732,AACR,US,Northern America
733,Refinitiv,US,Northern America
734,Wisconsin Diagnostic Laboratories,US,Northern America
736,Arcadia.io,US,Northern America
738,BOK Financial,US,Northern America
739,The Heritage Group,US,Northern America
741,AffiniPay,US,Northern America
742,SellUP,US,Northern America
743,Fusion,US,Northern America
744,Southern Scripts,US,Northern America
745,eSolutions,US,Northern America
746,SGA,US,Northern America
747,Standav,US,Northern America
748,redShift Recruiting,US,Northern America
749,iTalent Digital,US,Northern America
750,RGP,US,Northern America
751,Nesco Resource,US,Northern America
752,FedEx SupplyChain,US,Northern America
754,Verizon,US,Northern America
756,Andigo Credit Union,US,Northern America
758,JJR Solutions,US,Northern America
759,Questex,US,Northern America
760,HealthcareSource,US,Northern America
761,Esurance,US,Northern America
762,Hippo Insurance Services,US,Northern America
763,Twitch,US,Northern America
764,Pactera,US,Northern America
765,Kaimetrix,US,Northern America
766,Oasis Systems,US,Northern America
769,Financial Additions,US,Northern America
770,Diedre Moire,US,Northern America
771,Capstone Corporation,US,Northern America
772,Thoughtwave Software and Solutions,US,Northern America
773,Innocean,US,Northern America
774,Acumen,US,Northern America
775,Knowesis,US,Northern America
776,IBEX Global,US,Northern America
778,CoventBridge Group,US,Northern America
779,PTC Therapeutics,US,Northern America
780,80Twenty,US,Northern America
784,D.A. Davidson & Co.,US,Northern America
786,Hopjump,US,Northern America
788,Robert Half,US,Northern America
789,Highbridge Materials Consulting,US,Northern America
790,Diverse Lynx,US,Northern America
791,Atlas Group (Virginia),US,Northern America
794,MATRIX Resources,US,Northern America
795,James Hardie,US,Northern America
797,AppLovin,US,Northern America
799,Gentis Solutions,US,Northern America
800,Staffing Technologies,US,Northern America
803,Oxygen Development,US,Northern America
804,Active Staffing Services,US,Northern America
805,KeepTruckin,US,Northern America
807,Oldcastle BuildingEnvelope,US,Northern America
809,Travelers,US,Northern America
810,DataCeutics,US,Northern America
813,Integrity Consulting,US,Northern America
816,Lone Star Legal Aid,US,Northern America
819,Kenneth Copeland Ministries,US,Northern America
822,Skybridge Resources,US,Northern America
823,FirstKey Homes,US,Northern America
824,Guild Education,US,Northern America
825,CoverWallet,US,Northern America
826,Rocket Homes,US,Northern America
827,Philadelphia Gas Works,US,Northern America
830,Luttrell Staffing Group,US,Northern America
831,System One,US,Northern America
832,G2A Executive Search,US,Northern America
836,Benzer Pharmacy,US,Northern America
837,Voloridge Investment Management,US,Northern America
842,Smartsheet,US,Northern America
843,The Citadel,US,Northern America
844,Associated Banc-Corp,US,Northern America
845,Marathon TS,US,Northern America
846,Idaho Central Credit Union,US,Northern America
847,RoundPoint Mortgage Servicing,US,Northern America
848,DataLink Software,US,Northern America
849,National Corporate Housing,US,Northern America
850,Simpluris,US,Northern America
852,Moda Operandi,US,Northern America
854,Ronin Staffing,US,Northern America
856,Columbia Sportswear,US,Northern America
857,First American Payment Systems,US,Northern America
860,PeopleNTech,US,Northern America
863,DatamanUSA,US,Northern America
864,Nurx,US,Northern America
868,Frontier Technology Inc,US,Northern America
869,Xduce,US,Northern America
872,iTech Solutions,US,Northern America
876,Platts,US,Northern America
878,AWeber,US,Northern America
884,ZeniMax Media,US,Northern America
887,Wayfair,US,Northern America
888,RedRoute,US,Northern America
889,MobilityWare,US,Northern America
892,"FocusKPI, Inc.",US,Northern America
893,Econometrica,US,Northern America
894,Brighthouse Financial,US,Northern America
895,CGF CounselGroupFrankfurt,US,Northern America
896,Prosource,US,Northern America
900,Nexient,US,Northern America
901,BetterUp,US,Northern America
903,AccessLex Institute,US,Northern America
908,Tachyon Technologies,US,Northern America
909,Care.com,US,Northern America
910,Pyramid Consulting,US,Northern America
911,Tiger Analytics,US,Northern America
914,AssetMark,US,Northern America
916,Finish Line,US,Northern America
917,Equity Bank (KS),US,Northern America
918,EnLink Midstream,US,Northern America
919,Monterey Mushrooms,US,Northern America
920,WE Communications,US,Northern America
922,Sciton,US,Northern America
924,CTR Management Group,US,Northern America
929,Nationwide Title Clearing,US,Northern America
930,fusionSpan,US,Northern America
936,AdventHealth Hendersonville,US,Northern America
937,ERPi,US,Northern America
944,Attivo Partners,US,Northern America
946,Zylo,US,Northern America
947,JumpCloud,US,Northern America
948,iRhythm Technologies,US,Northern America
953,National General Insurance,US,Northern America
955,Raybeam,US,Northern America
956,Cane Bay Partners VI,US,Northern America
957,Messer Americas,US,Northern America
958,EnergyWatch (New York),US,Northern America
959,Global Employment Solutions,US,Northern America
960,Pattern Energy Group,US,Northern America
963,Jet,US,Northern America
965,Grant Street Group,US,Northern America
968,MSX International,US,Northern America
971,Gympass,US,Northern America
972,AdventHealth Medical Group East FL,US,Northern America
973,Clover,US,Northern America
974,Continental Technology Solutions,US,Northern America
975,Citrix,US,Northern America
976,Karwell Technologiies,US,Northern America
977,Net2source,US,Northern America
980,Centrillion Technologies,US,Northern America
981,Leukemia & Lymphoma Society,US,Northern America
982,Eliassen Group,US,Northern America
984,Donnelley Financial Solutions (DFIN),US,Northern America
987,Advocate Aurora Health,US,Northern America
989,CaRD,US,Northern America
991,Emendata,US,Northern America
992,TDS,US,Northern America
994,URJ,US,Northern America
995,OxBlue Corporation,US,Northern America
997,EMS (Education Management Solutions),US,Northern America
1002,JobGiraffe,US,Northern America
1004,Western Asset Management,US,Northern America
1007,Montana State Fund,US,Northern America
1011,Boston Private,US,Northern America
1012,Red Balloon Security,US,Northern America
1015,Chartboost,US,Northern America
1017,Avacend,US,Northern America
1018,HomeServe USA,US,Northern America
1021,Unlimited Systems,US,Northern America
1022,CACI International,US,Northern America
1023,Global Atlantic Financial Group,US,Northern America
1031,CEComputech,US,Northern America
1035,StubWorld,US,Northern America
1037,TechDigital Corporation,US,Northern America
1039,Tencent,US,Northern America
1041,Viper Staffing Services,US,Northern America
1042,Fusco Personnel,US,Northern America
1043,LeanTaaS,US,Northern America
1044,Airlines Reporting Corporation,US,Northern America
1048,Tabner,US,Northern America
1054,Topa Insurance Company,US,Northern America
1058,Pro Staff,US,Northern America
1059,Emerging Blue,US,Northern America
1062,Mintel,US,Northern America
1063,USfalcon,US,Northern America
1065,NetEffects,US,Northern America
1066,DentaQuest,US,Northern America
1067,22nd Century Technologies,US,Northern America
1071,Verticalmove,US,Northern America
1072,MAU Workforce Solutions,US,Northern America
1073,Matrix Medical Network,US,Northern America
1074,FM Talent Source,US,Northern America
1079,Mattson Resources,US,Northern America
1080,Feedzai,US,Northern America
1085,CorneaGen,US,Northern America
1088,American Auto Shield,US,Northern America
1089,Xtiva Financial Systems,US,Northern America
1094,SocialCode,US,Northern America
1095,The CSI Companies,US,Northern America
1100,Guardian Life,US,Northern America
1102,Catholic Charities of Santa Clara County,US,Northern America
1103,OfficeTeam,US,Northern America
1107,Iesolutions,US,Northern America
1108,CardinalCommerce,US,Northern America
1109,ACLU of Texas,US,Northern America
1111,ICON,US,Northern America
1112,CIMCON Lighting,US,Northern America
1113,Live! Casino & Hotel,US,Northern America
1116,Sandhills Global,US,Northern America
1117,Rokt,US,Northern America
1121,Farelogix,US,Northern America
1122,Northern Bank,US,Northern America
1125,Ubisoft,US,Northern America
1126,Octane Lending,US,Northern America
1128,RLI,US,Northern America
1129,easypost,US,Northern America
1131,Metromile,US,Northern America
1134,Businessolver,US,Northern America
1136,NJF Global Holdings,US,Northern America
1138,Propeller Health,US,Northern America
1140,Sapphire Digital,US,Northern America
1141,TORC Robotics,US,Northern America
1143,1010data,US,Northern America
1144,Greenphire,US,Northern America
1145,Group O,US,Northern America
1146,OpenTable,US,Northern America
1147,Object Partners,US,Northern America
1150,Integral Ad Science,US,Northern America
1152,Cisco Systems,US,Northern America
1153,Lacework,US,Northern America
1154,Hunter Technical Resources,US,Northern America
1156,Nyansa,US,Northern America
1157,Newsela,US,Northern America
1160,Quicken Loans,US,Northern America
1161,EverString,US,Northern America
1163,BRMi,US,Northern America
1164,Formation,US,Northern America
1169,1904Labs,US,Northern America
1172,Rocketrip,US,Northern America
1173,Honor,US,Northern America
1175,Sift Healthcare,US,Northern America
1177,States Title,US,Northern America
1180,AbleTo,US,Northern America
1183,Dole Food Company,US,Northern America
1184,Kite.com,US,Northern America
1185,HireResources,US,Northern America
1186,KeyW,US,Northern America
1187,Ibotta,US,Northern America
1188,Apolis,US,Northern America
1190,Glassdoor,US,Northern America
1192,The Knot Worldwide,US,Northern America
1193,Powertek,US,Northern America
1194,Esha IT,US,Northern America
1198,BravoTECH,US,Northern America
1199,CCRi,US,Northern America
1200,Just Auto Insurance,US,Northern America
1202,Clearwater Analytics,US,Northern America
1203,DivIHN Integration,US,Northern America
1204,SmartNews,US,Northern America
1205,Waitr  ,US,Northern America
1206,Inscopix,US,Northern America
1207,Adroit Resources,US,Northern America
1208,Earnin,US,Northern America
1209,GIACT Systems,US,Northern America
1210,Verb Surgical,US,Northern America
1211,Novetta,US,Northern America
1212,HKA Enterprises,US,Northern America
1213,C3.ai,US,Northern America
1214,CubeSmart,US,Northern America
1217,S&P Global Ratings,US,Northern America
1218,Science 37,US,Northern America
1219,Stanza,US,Northern America
1220,DESE Research,US,Northern America
1222,Hunter International Recruiting,US,Northern America
1223,Convoy,US,Northern America
1224,Karyon Global,US,Northern America
1225,Facebook,US,Northern America
1226,DRANNEK CONSULTING,US,Northern America
1227,Anaplan,US,Northern America
1228,NuWave Solutions,US,Northern America
1229,Equinox Consulting Partners,US,Northern America
1230,Elementus,US,Northern America
1231,BestReviews,US,Northern America
1232,NTENT,US,Northern America
