herramienta,cuenta,PuestoTrabajo
sql,907,data scientist
python,1562,data scientist
r,844,data scientist
excel,172,data scientist
tableau,155,data scientist
sas,172,data scientist
tensorflow,194,data scientist
jupyter,89,data scientist
matlab,101,data scientist
scikit-learn,67,data scientist
postgresql,29,data scientist
snowflake,2,data scientist
segment,34,data scientist
matplotlib,21,data scientist
mongodb,16,data scientist
metabase,4,data scientist
d3.js,11,data scientist
redash,1,data scientist
periscope,3,data scientist
looker,2,data scientist
nltk,10,data scientist
presto,2,data scientist
knime,7,data scientist
weka,2,data scientist
ggplot2,2,data scientist
sql,1281,data engineer
python,905,data engineer
postgresql,65,data engineer
mongodb,91,data engineer
tableau,117,data engineer
excel,68,data engineer
r,147,data engineer
sas,48,data engineer
scikit-learn,17,data engineer
snowflake,45,data engineer
jupyter,23,data engineer
tensorflow,31,data engineer
matlab,18,data engineer
presto,12,data engineer
looker,10,data engineer
d3.js,4,data engineer
dbt,3,data engineer
segment,6,data engineer
periscope,2,data engineer
matplotlib,1,data engineer
sql,2697,data analyst
tableau,665,data analyst
python,751,data analyst
excel,2566,data analyst
r,616,data analyst
segment,180,data analyst
sas,373,data analyst
jupyter,20,data analyst
looker,47,data analyst
snowflake,27,data analyst
periscope,7,data analyst
d3.js,11,data analyst
dbt,5,data analyst
matlab,32,data analyst
presto,5,data analyst
knime,9,data analyst
redash,2,data analyst
postgresql,29,data analyst
scikit-learn,8,data analyst
ggplot2,3,data analyst
metabase,6,data analyst
tensorflow,4,data analyst
mongodb,17,data analyst
matplotlib,1,data analyst
nltk,2,data analyst
