,salario,NombreEmpresa,modalidad,Plataforma,Fecha,salary.country.currency.currencyCode,PuestoTrabajo,pais,codigo_pais,sub_region
0,,Banco Santander Chile,remote_local,getonboard,2023-01-23,,data analyst,Chile,CL,Latin America and the Caribbean
1,1800.0,ARKHO,remote_local,getonboard,2023-01-23,,data analyst,Chile,CL,Latin America and the Caribbean
2,1800.0,Gregario,fully_remote,getonboard,2023-01-23,,data analyst,Chile,CL,Latin America and the Caribbean
3,,Wholemeaning,fully_remote,getonboard,2023-01-23,,data analyst,Chile,CL,Latin America and the Caribbean
4,46053.0,Nielsen,presencial,glassdoor,2019-10-18,GBP,data analyst,Chile,CL,Latin America and the Caribbean
5,838.0,Goodyear,presencial,glassdoor,2019-10-23,GBP,data analyst,Chile,CL,Latin America and the Caribbean
6,144706.0,Colgate-Palmolive,presencial,glassdoor,2019-11-08,GBP,data analyst,Chile,CL,Latin America and the Caribbean
7,146974.0,Goodyear,presencial,glassdoor,2019-10-23,GBP,data analyst,Chile,CL,Latin America and the Caribbean
8,2000.0,BNamericas,fully_remote,getonboard,2023-01-23,,data scientist,Chile,CL,Latin America and the Caribbean
9,3300.0,Option,fully_remote,getonboard,2023-01-23,,data scientist,Chile,CL,Latin America and the Caribbean
10,1400.0,FUNDACIÓN CSIRO CHILE RESEARCH,hybrid,getonboard,2023-01-23,,data scientist,Chile,CL,Latin America and the Caribbean
11,,Femsa Salud,hybrid,getonboard,2023-01-23,,data scientist,Chile,CL,Latin America and the Caribbean
12,4000.0,8020REI,fully_remote,getonboard,2023-01-23,,data scientist,Chile,CL,Latin America and the Caribbean
13,94233.0,Teck Resources,presencial,glassdoor,2019-11-06,,data scientist,Chile,CL,Latin America and the Caribbean
14,43024.0,Citicapital Commercial Corp,presencial,glassdoor,2019-10-30,GBP,data analyst,Chile,CL,Latin America and the Caribbean
15,145454.0,McKinsey & Company,presencial,glassdoor,2019-10-15,GBP,data analyst,Chile,CL,Latin America and the Caribbean
16,124991.0,Citi,presencial,glassdoor,2019-10-30,GBP,data analyst,Chile,CL,Latin America and the Caribbean
17,17253.0,IQVIA,presencial,glassdoor,2019-10-26,GBP,data analyst,Chile,CL,Latin America and the Caribbean
18,55482.0,Citi,presencial,glassdoor,2019-10-30,GBP,data analyst,Chile,CL,Latin America and the Caribbean
19,67993.0,Citi,presencial,glassdoor,2019-10-30,GBP,data analyst,Chile,CL,Latin America and the Caribbean
20,53690.0,AstraZeneca,presencial,glassdoor,2019-10-25,GBP,data scientist,Chile,CL,Latin America and the Caribbean
21,3500.0,Ensitech,fully_remote,getonboard,2023-01-23,,data analyst,Mexico,MX,Latin America and the Caribbean
