,rateCareerOpportunities,rateCompensation_Benefits,rateCultureValues,rateGeneralView,rateOpinionAboutManagement,rateWorklifeBalance,rateCeoApproval,ratePositiveBusinessView,rateRecommendToFriend,NombreEmpresa,codigo_pais,sub_region
0,3.0,4.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,Frazer-Nash Consultancy,GB,Northern Europe
1,4.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,Frazer-Nash Consultancy,GB,Northern Europe
2,4.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,Frazer-Nash Consultancy,GB,Northern Europe
3,4.0,3.0,4.0,4.0,4.0,5.0,1.0,1.0,1.0,Frazer-Nash Consultancy,GB,Northern Europe
4,5.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,AffiniPay,US,Northern America
5,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,AffiniPay,US,Northern America
6,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,AffiniPay,US,Northern America
7,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,AffiniPay,US,Northern America
8,5.0,4.0,5.0,5.0,5.0,5.0,1.0,2.0,1.0,Slice,US,Northern America
9,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,Slice,US,Northern America
10,2.0,1.0,2.0,4.0,5.0,5.0,1.0,2.0,0.0,Slice,US,Northern America
11,4.0,3.0,4.0,4.0,4.0,3.0,1.0,1.0,1.0,Bel Group,FR,Western Europe
12,4.0,5.0,5.0,5.0,4.0,5.0,1.0,1.0,1.0,Propeller Health,US,Northern America
13,4.0,3.0,5.0,4.0,5.0,5.0,1.0,1.0,1.0,Propeller Health,US,Northern America
14,5.0,5.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,PatSnap,SG,South-eastern Asia
15,4.0,4.0,4.0,4.0,4.0,4.0,1.0,0.0,1.0,K Health,IL,Western Asia
16,4.0,2.0,5.0,4.0,4.0,4.0,1.0,2.0,1.0,Nepa,SE,Northern Europe
17,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,Nepa,SE,Northern Europe
18,5.0,3.0,5.0,5.0,4.0,5.0,0.0,1.0,1.0,Rawdata Technologies,IN,Southern Asia
19,4.0,0.0,4.0,5.0,3.0,5.0,0.0,2.0,1.0,City Beach,AU,Australia and New Zealand
20,2.0,1.0,3.0,2.0,3.0,2.0,0.0,3.0,2.0,City Beach,AU,Australia and New Zealand
21,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,2.0,City Beach,AU,Australia and New Zealand
22,4.0,4.0,3.0,3.0,4.0,5.0,0.0,2.0,1.0,City Beach,AU,Australia and New Zealand
23,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,2.0,Smyth & Bradshaw,AE,Western Asia
24,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,Smyth & Bradshaw,AE,Western Asia
25,5.0,4.0,5.0,5.0,4.0,5.0,1.0,1.0,1.0,Talent Search People,ES,Southern Europe
26,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,Talent Search People,ES,Southern Europe
27,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,Talent Search People,ES,Southern Europe
28,3.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,Talent Search People,ES,Southern Europe
29,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,Talent Search People,ES,Southern Europe
30,5.0,5.0,5.0,5.0,5.0,5.0,0.0,1.0,1.0,Affinity Group,CA,Northern America
31,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,The Creative Counsel,ZA,Sub-Saharan Africa
32,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,Shoprite Group,ZA,Sub-Saharan Africa
33,3.0,3.0,3.0,4.0,3.0,2.0,0.0,2.0,1.0,Schustermann & Borenstein,DE,Western Europe
34,4.0,3.0,4.0,5.0,5.0,5.0,0.0,1.0,1.0,TCG Digital,IN,Southern Asia
35,3.0,5.0,2.0,5.0,2.0,5.0,0.0,0.0,1.0,TCG Digital,IN,Southern Asia
36,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,TCG Digital,IN,Southern Asia
37,3.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,1.0,TCG Digital,IN,Southern Asia
38,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,Winfooz,CA,Northern America
39,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,Winfooz,JO,Western Asia
40,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,Winfooz,CA,Northern America
41,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,Winfooz,JO,Western Asia
42,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,Winfooz,CA,Northern America
